instance_id,group,candidate_index,source,bitstring,assignment_energy,decoded_assignment,onehot_violation_count,capacity_violation_count,capacity_violation_count_before_repair,total_over_capacity,total_over_capacity_before_repair,onehot_feasible,capacity_feasible,assignment_feasible,repaired,repair_summary,repair_moved_customers,vehicle_loads,vehicle_loads_before_repair,vehicle_route_lengths,route_distance_before_2opt,route_distance_after_2opt,improvement_after_2opt,route_feasible,routes_before_2opt,routes_after_2opt,final_rank
seed2026_c4_v2_medium,C,18,classical,,319.1999999999998,"{'0': [1, 4], '1': [2, 3]}",3,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",11
seed2026_c4_v2_medium,C,19,classical,,245.39999999999986,"{'0': [1, 4], '1': [2, 3]}",2,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",9
seed2026_c4_v2_medium,C+R,0,classical,,169.2954143151553,"{'0': [4, 1], '1': [2, 3]}",1,0,1,0,1,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 3, '1': 7}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",8
seed2026_c4_v2_medium,C+R,1,classical,,137.2505455353487,"{'0': [1, 2, 4], '1': [3]}",1,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 6, '1': 4}","{'0': 6, '1': 4}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",16
seed2026_c4_v2_medium,C+R,2,classical,,185.6958914224167,"{'0': [3], '1': [1, 2, 4]}",2,0,1,0,1,False,True,False,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 7, '1': 3}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",17
seed2026_c4_v2_medium,C+R,3,classical,,54.434785617779426,"{'0': [3], '1': [1, 2, 4]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 7, '1': 3}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",15
seed2026_c4_v2_medium,C+R,4,classical,,185.6958914224167,"{'0': [3], '1': [1, 2, 4]}",2,0,1,0,1,False,True,False,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 7, '1': 3}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",18
seed2026_c4_v2_medium,C+R,5,classical,,54.09541431515527,"{'0': [4, 1], '1': [2, 3]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 3, '1': 7}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",6
seed2026_c4_v2_medium,C+R,6,classical,,94.67908613573832,"{'0': [1, 4], '1': [2, 3]}",1,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 5, '1': 5}","{'0': 5, '1': 5}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",7
seed2026_c4_v2_medium,C+R,7,classical,,255.0,"{'0': [1, 4], '1': [2, 3]}",2,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",10
seed2026_c4_v2_medium,C+R,8,classical,,320.8505455353486,"{'0': [1, 4], '1': [2, 3]}",3,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",11
seed2026_c4_v2_medium,C+R,9,classical,,245.39999999999986,"{'0': [1, 4], '1': [2, 3]}",2,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",9
seed2026_c4_v2_medium,C+R,10,uniform_random,,1535.3459598505044,"{'0': [2, 4], '1': [1, 3]}",1,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 4, '1': 6}","{'0': 4, '1': 6}","{'1': 14.444547736512959, '2': 23.92670754757829}",38.37125528409125,38.37125528409125,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]",3
seed2026_c4_v2_medium,C+R,11,uniform_random,,594.4130289844634,"{'0': [1, 2, 4], '1': [3]}",4,0,1,0,4,False,True,False,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",19
seed2026_c4_v2_medium,C+R,12,uniform_random,,275.75706002758056,"{'0': [2, 4], '1': [1, 3]}",2,0,1,0,2,False,True,False,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 8, '1': 2}","{'1': 14.444547736512959, '2': 23.92670754757829}",38.37125528409125,38.37125528409125,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]",1
seed2026_c4_v2_medium,C+R,13,uniform_random,,1009.1388313948362,"{'0': [1, 4], '1': [2, 3]}",1,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",13
seed2026_c4_v2_medium,C+R,14,uniform_random,,3809.092148506627,"{'0': [2, 3], '1': [1, 4]}",2,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 5, '1': 5}","{'0': 5, '1': 5}","{'1': 20.267412862315776, '2': 32.585385245257925}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]",14
seed2026_c4_v2_medium,C+R,15,uniform_random,,4755.263607906238,"{'0': [2, 4], '1': [1, 3]}",2,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 4, '1': 6}","{'0': 4, '1': 6}","{'1': 14.444547736512959, '2': 23.92670754757829}",38.37125528409125,38.37125528409125,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]",5
seed2026_c4_v2_medium,C+R,16,uniform_random,,950.6380848127332,"{'0': [2, 4], '1': [1, 3]}",2,0,1,0,2,False,True,False,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 8, '1': 2}","{'1': 14.444547736512959, '2': 23.92670754757829}",38.37125528409125,38.37125528409125,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]",2
seed2026_c4_v2_medium,C+R,17,uniform_random,,1000.6790861357385,"{'0': [1, 4], '1': [2, 3]}",1,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 5, '1': 5}","{'0': 5, '1': 5}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",12
seed2026_c4_v2_medium,C+R,18,uniform_random,,2210.778816660896,"{'0': [1, 2, 4], '1': [3]}",2,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 6, '1': 4}","{'0': 6, '1': 4}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",20
seed2026_c4_v2_medium,C+R,19,uniform_random,,2235.9098136871853,"{'0': [2, 4], '1': [1, 3]}",2,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 4, '1': 6}","{'0': 4, '1': 6}","{'1': 14.444547736512959, '2': 23.92670754757829}",38.37125528409125,38.37125528409125,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}, {'vehicle_id': 2, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}]",4
seed2026_c4_v2_medium,C+Q,0,classical,,169.2954143151553,"{'0': [4, 1], '1': [2, 3]}",1,0,1,0,1,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 3, '1': 7}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",9
seed2026_c4_v2_medium,C+Q,1,classical,,137.2505455353487,"{'0': [1, 2, 4], '1': [3]}",1,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 6, '1': 4}","{'0': 6, '1': 4}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",15
seed2026_c4_v2_medium,C+Q,2,classical,,185.6958914224167,"{'0': [3], '1': [1, 2, 4]}",2,0,1,0,1,False,True,False,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 7, '1': 3}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",16
seed2026_c4_v2_medium,C+Q,3,classical,,54.434785617779426,"{'0': [3], '1': [1, 2, 4]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 7, '1': 3}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",14
seed2026_c4_v2_medium,C+Q,4,classical,,185.6958914224167,"{'0': [3], '1': [1, 2, 4]}",2,0,1,0,1,False,True,False,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 7, '1': 3}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",17
seed2026_c4_v2_medium,C+Q,5,classical,,54.09541431515527,"{'0': [4, 1], '1': [2, 3]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 3, '1': 7}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",7
seed2026_c4_v2_medium,C+Q,6,classical,,94.67908613573832,"{'0': [1, 4], '1': [2, 3]}",1,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 5, '1': 5}","{'0': 5, '1': 5}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",8
seed2026_c4_v2_medium,C+Q,7,classical,,255.0,"{'0': [1, 4], '1': [2, 3]}",2,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",11
seed2026_c4_v2_medium,C+Q,8,classical,,320.8505455353486,"{'0': [1, 4], '1': [2, 3]}",3,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",12
seed2026_c4_v2_medium,C+Q,9,classical,,245.39999999999986,"{'0': [1, 4], '1': [2, 3]}",2,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",10
seed2026_c4_v2_medium,C+Q,10,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",18
